Name,Actual pomodoros,Assign,Checked,Date Created,Due Date,Pomodoros,Postponed,Priority,Status,Tag
Deep Learning School,,,No,"Sep 10, 2019 12:01 PM","Sep 14, 2019",2,No,Medium,,Extra Ed
Выбрать курсы на Coursera,,,No,"Sep 10, 2019 12:01 PM","Sep 29, 2019",2,No,Low,,Extra Ed
Составить список привычек,,Xenia Zagvozdina,No,"Sep 01, 2019 12:24 AM","Sep 01, 2019",,No,Medium,Archived,Mindfulness
Посмотреть расписание на 1й модуль,,Xenia Zagvozdina,Yes,"Aug 30, 2019 12:30 PM","Aug 30, 2019",,No,Medium,Archived,Uni
Заказать справки,,Xenia Zagvozdina,Yes,"Sep 01, 2019 1:29 AM","Sep 01, 2019",,No,High 🔥,Archived,Uni
Цели по SMART с этапами,,Xenia Zagvozdina,Yes,"Aug 30, 2019 12:08 PM","Aug 30, 2019",,No,High 🔥,Archived,Mindfulness
Выполнить 1 unit в Essay,,Xenia Zagvozdina,No,"Sep 09, 2019 1:01 AM","Sep 15, 2019",10,No,High 🔥,Next Up,Foreign languages
Выполнить первое задание к DLiCV,,Xenia Zagvozdina,No,"Sep 01, 2019 1:20 AM","Sep 13, 2019",10,No,High 🔥,In Progress,Uni
Организовать записи,,Xenia Zagvozdina,No,"Sep 01, 2019 1:17 AM","Sep 01, 2019",2,No,Medium,In Progress,Uni
Task,,,No,"Aug 29, 2019 6:47 PM",,,No,,,
CCP assistance,3,Xenia Zagvozdina,Yes,"Sep 10, 2019 12:01 PM","Sep 05, 2019",2,No,High 🔥,Completed,Teaching
Пройти 3 параграфа Deutsch,,,No,"Sep 10, 2019 12:01 PM","Sep 15, 2019",10,No,High 🔥,Next Up,Foreign languages
Сходить на доклад ЕА (15:10 413),,Xenia Zagvozdina,No,"Sep 10, 2019 12:01 PM","Sep 11, 2019",3,No,High 🔥,Completed,Physics
Зайти в LMS,1,Xenia Zagvozdina,Yes,"Sep 10, 2019 12:01 PM","Sep 09, 2019",1,No,Low,Completed,Uni
Выполнить 3 теста в IELTS Pratice,,,No,"Sep 10, 2019 12:01 PM","Sep 15, 2019",3,No,High 🔥,Next Up,Foreign languages
Посмотреть первую лекцию по СУ,,,No,"Sep 10, 2019 12:01 PM","Sep 13, 2019",4,No,Medium,Next Up,Uni
Открыть Сивухина,,,No,"Sep 10, 2019 12:01 PM","Sep 13, 2019",3,No,High 🔥,In Progress,Physics
Написать 2-3 риэлторам,,,No,"Sep 10, 2019 12:01 PM","Sep 14, 2019",2,No,Low,Next Up,Family
Найти рабочих для работы по дому,,,No,"Sep 10, 2019 12:01 PM","Sep 14, 2019",3,No,Medium,Next Up,Family
Цели по SMART с этапами,,,Yes,"Sep 10, 2019 12:01 PM","Aug 30, 2019",0,No,High 🔥,Archived,Mindfulness
Организовать записи,,,No,"Sep 10, 2019 12:01 PM","Sep 01, 2019",2,No,Medium,In Progress,Uni
Пройти видео-интервью в Школу 21,1,Xenia Zagvozdina,Yes,"Sep 10, 2019 12:01 PM","Sep 10, 2019",2,No,Medium,Completed,Extra Ed
Посмотреть расписание на 1й модуль,,,Yes,"Sep 10, 2019 12:01 PM","Aug 30, 2019",0,No,Medium,Archived,Uni
Написать в 42 school,,,Yes,"Sep 10, 2019 12:01 PM","Sep 05, 2019",0,No,Medium,Archived,Extra Ed
Выбрать книги,2,Xenia Zagvozdina,Yes,"Sep 10, 2019 12:01 PM","Sep 04, 2019",1,No,Low,Completed,Extra Ed
Foreign languages,,,No,"Sep 10, 2019 12:01 PM","Sep 08, 2019",0,No,High 🔥,Archived,Foreign languages
Заревьюить главу 2 The Lattice Boltzmann.,4,Xenia Zagvozdina,Yes,"Sep 10, 2019 12:01 PM","Sep 10, 2019",4,No,High 🔥,Completed,Physics
Заказать справки,,,Yes,"Sep 10, 2019 12:01 PM","Sep 01, 2019",0,No,High 🔥,Archived,Uni
Сходить к ЕА,3,Xenia Zagvozdina,Yes,"Sep 10, 2019 12:01 PM","Sep 09, 2019",3,No,High 🔥,Completed,Physics
Составить список привычек,,,No,"Sep 10, 2019 12:01 PM","Sep 01, 2019",0,No,Medium,Archived,Mindfulness
Написать научному руководителю,,,Yes,"Sep 10, 2019 12:01 PM","Sep 02, 2019",0,No,High 🔥,Archived,Uni
Податься в MADE mail.ru,,,No,"Sep 10, 2019 12:01 PM","Sep 15, 2019",5,No,Medium,In Progress,Extra Ed
Поменять воду в аквариуме,,Xenia Zagvozdina,No,"Sep 10, 2019 1:02 PM","Sep 13, 2019",2,No,Medium,Next Up,Family
Встретиться с Кирюхой,,Xenia Zagvozdina,No,"Sep 10, 2019 1:03 PM","Sep 20, 2019",4,No,Medium,Next Up,Family
Когда пересдавать статфизику,1,Xenia Zagvozdina,No,"Sep 11, 2019 7:43 AM","Sep 11, 2019",1,No,High 🔥,Completed,Physics
Распечатать статью Succi,,Xenia Zagvozdina,No,"Sep 12, 2019 9:01 AM","Sep 12, 2019",1,No,Medium,In Progress,Uni
